open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
140.46,143.65,139.91,143.56,49349941.0,143.65,139.91,143.56,140.46,49349937.0,1.0,0.0,AMZN,XNAS,"November 10, 2023 12:00 AM"
130.105,132.8,129.41,132.59,26927830.0,132.8,129.41,132.59,130.105,26927826.0,1.0,0.0,GOOGL,XNAS,"November 10, 2023 12:00 AM"
361.49,370.1,361.07,369.67,28042100.0,368.6754017501,359.6801602538,368.2402,360.0985435792,28065164.0,1.0,0.0,MSFT,XNAS,"November 10, 2023 12:00 AM"
437.48,447.48,435.51,447.24,4443284.0,447.48,435.51,447.24,437.48,4443284.0,1.0,0.0,NFLX,XNAS,"November 10, 2023 12:00 AM"
362.3,364.79,360.36,360.69,24847300.0,363.385841136,358.9748855052,359.295,360.9054257067,24847331.0,1.0,0.0,MSFT,XNAS,"November 09, 2023 12:00 AM"
438.03,440.38,434.35,435.15,2735507.0,440.38,434.35,435.15,438.03,2735507.0,1.0,0.0,NFLX,XNAS,"November 09, 2023 12:00 AM"
182.96,184.12,181.81,182.41,53763500.0,183.6498490741,181.3457476655,181.9378,182.4928111373,53763540.0,1.0,0.0,AAPL,XNAS,"November 09, 2023 12:00 AM"
142.02,142.65,139.84,140.6,36235367.0,142.65,139.84,140.6,142.02,36235367.0,1.0,0.0,AMZN,XNAS,"November 09, 2023 12:00 AM"
131.96,132.55,130.065,130.24,23747770.0,132.55,130.065,130.24,131.96,23747773.0,1.0,0.0,GOOGL,XNAS,"November 09, 2023 12:00 AM"
182.35,183.45,181.59,182.89,49340300.0,182.9815599209,181.1263094361,182.4166,181.884368774,49340282.0,1.0,0.0,AAPL,XNAS,"November 08, 2023 12:00 AM"
142.97,143.12,141.2183,142.08,44521660.0,143.12,141.2183,142.08,142.97,44521658.0,1.0,0.0,AMZN,XNAS,"November 08, 2023 12:00 AM"
130.97,132.21,130.78,131.84,26425850.0,132.21,130.78,131.84,130.97,26425849.0,1.0,0.0,GOOGL,XNAS,"November 08, 2023 12:00 AM"
361.68,363.87,360.55,363.2,26767800.0,362.4693824232,359.1621618509,361.7953,360.2878122264,26767828.0,1.0,0.0,MSFT,XNAS,"November 08, 2023 12:00 AM"
435.0,438.07,433.68,436.65,2356845.0,438.07,433.68,436.65,435.0,2356845.0,1.0,0.0,NFLX,XNAS,"November 08, 2023 12:00 AM"
359.4,362.46,357.63,360.53,25833900.0,361.0648098307,356.2534015885,359.1356,358.0165884599,25833931.0,1.0,0.0,MSFT,XNAS,"November 07, 2023 12:00 AM"
436.18,437.64,431.0,434.61,3291064.0,437.64,431.0,434.61,436.18,3291064.0,1.0,0.0,NFLX,XNAS,"November 07, 2023 12:00 AM"
179.18,182.44,178.97,181.82,70530000.0,181.9741389587,178.5129996133,181.3494,178.7224633777,70529966.0,1.0,0.0,AAPL,XNAS,"November 07, 2023 12:00 AM"
140.55,143.37,140.5,142.71,53553539.0,143.37,140.5,142.71,140.55,53553537.0,1.0,0.0,AMZN,XNAS,"November 07, 2023 12:00 AM"
130.71,131.91,129.88,130.97,29757279.0,131.91,129.88,130.97,130.71,29757276.0,1.0,0.0,GOOGL,XNAS,"November 07, 2023 12:00 AM"
176.38,179.43,176.21,179.23,63841300.0,178.971825002,175.7600472808,178.7661,175.9296131854,63841310.0,1.0,0.0,AAPL,XNAS,"November 06, 2023 12:00 AM"
138.76,140.73,138.36,139.74,44970422.0,140.73,138.36,139.74,138.76,44970417.0,1.0,0.0,AMZN,XNAS,"November 06, 2023 12:00 AM"
129.05,130.34,128.67,130.25,19052740.0,130.34,128.67,130.25,129.05,19052740.0,1.0,0.0,GOOGL,XNAS,"November 06, 2023 12:00 AM"
353.45,357.54,353.35,356.53,23828300.0,356.1637480187,351.9898762724,355.1511,352.0894913498,23828301.0,1.0,0.0,MSFT,XNAS,"November 06, 2023 12:00 AM"
434.38,435.03,429.61,434.74,3003235.0,435.03,429.61,434.74,434.38,3003235.0,1.0,0.0,NFLX,XNAS,"November 06, 2023 12:00 AM"
